guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
cburns@example.com,False,SUITE,22.39,02 Aug 2020,13 Aug 2020,377.55,"8938 Jessica Path
Monicaport, NM 22064",30158284644887
jordanpamela@example.org,False,SUITE,,25 Nov 2020,16 Dec 2020,271.26,"55345 Chapman Knolls
Davidhaven, AL 18278",4375705762878737
amanda33@example.org,False,SUITE,27.91,19 Jul 2020,07 Jul 2020,97.91,"9869 Benjamin Path Suite 817
East James, VA 52016",180027361090256
kellikirby@example.net,False,SUITE,7.01,28 Sep 2020,21 Oct 2020,301.55,"6157 Collins Course
Lake Janetside, SD 60047",4646760073726565
robertwatson@example.net,False,SUITE,32.62,22 Jul 2020,24 Aug 2020,110.51,"78067 Mark Route
Jacobfort, MI 55667",4526613273846
mendezbenjamin@example.net,False,SUITE,8.53,16 Nov 2020,04 Dec 2020,121.74,"53903 Micheal Stream
Scottview, VT 67426",4296830354635000
odomzachary@example.net,False,SUITE,25.97,28 Feb 2020,21 Mar 2020,209.93,"0281 Hill Prairie
Hayesville, MA 25174",4116615757426182
harold60@example.org,False,SUITE,,27 Jun 2020,28 May 2020,108.33,"9142 Collin Manor
Stevenside, NV 70806",3598598963519926
dannymorris@example.org,False,SUITE,0.0,29 Mar 2020,30 Mar 2020,220.7,"22640 Karen Ramp
Sanchezland, OK 36327",6011173127913902
jsimpson@example.org,False,SUITE,33.06,28 Nov 2020,06 Dec 2020,373.52,"2596 Graham Villages
Aprilview, NY 36961",4386653018364799594
fernandezkathleen@example.com,False,SUITE,13.2,21 May 2020,10 Jul 2020,181.55,"699 Daniels Street
South Joshua, LA 85845",379091516117654
jessicagregory@example.org,False,SUITE,19.28,01 Sep 2020,22 Sep 2020,182.61,"314 Weaver Springs Apt. 589
Tylerchester, NE 04191",180052132661573
michaeljackson@example.net,False,SUITE,16.68,24 Oct 2020,22 Oct 2020,169.69,"673 Ryan Points Apt. 580
Hopkinsmouth, NY 08636",4752651333678
katiemclaughlin@example.com,False,SUITE,,03 Nov 2020,18 Nov 2020,331.41,"42516 Austin Isle Suite 036
Lindseyfort, MI 62283",6011648299192088
anna16@example.org,False,SUITE,25.35,18 May 2020,07 May 2020,344.92,"753 Gregory Locks Suite 385
West Teresamouth, KS 97669",3517342350357402
mariahbarrera@example.net,False,SUITE,9.97,11 Nov 2020,17 Nov 2020,337.5,"0884 Frank Field
Mooretown, IL 12982",3540444735127467
michaelgreen@example.org,False,SUITE,41.55,26 Apr 2020,16 May 2020,242.89,"2819 Brown Run Apt. 931
Villafort, SD 65228",2296890574359835
hayleywheeler@example.net,False,SUITE,18.72,22 Jan 2020,18 Jan 2020,318.94,"00021 Sherman Drives
Nelsonfurt, NE 65272",4580266917954866
denisestewart@example.com,False,SUITE,18.35,04 Feb 2020,26 Jan 2020,234.66,"3767 Carol Cliff Apt. 531
South Davidhaven, VT 67497",581481703493
megan20@example.com,False,SUITE,28.87,09 Apr 2020,19 Apr 2020,306.46,"579 Bianca Circle
Anthonybury, TX 54528",213157883032055
curtis17@example.com,False,SUITE,26.7,01 Jan 2021,02 Jan 2021,209.73,"03434 Felicia Estates
Kaitlynhaven, MT 60913",572209875663
david79@example.org,False,SUITE,0.0,12 Sep 2020,29 Sep 2020,129.93,"9971 Wheeler Street
West Kimberlyton, WA 26945",4854077035745
josephhoward@example.org,False,SUITE,35.3,21 Sep 2020,24 Sep 2020,371.76,"036 Tyler Run
Cookemouth, OH 31235",4675437533649224605
colebrent@example.net,False,SUITE,13.75,05 Feb 2020,01 Feb 2020,175.56,"22996 Angela Crescent
Colemanview, IN 36534",4888402052956999
jason00@example.org,False,SUITE,35.69,17 Jan 2020,15 Jan 2020,346.45,"967 Williams Wells Apt. 536
East Ebonyhaven, UT 01431",6570173726521901
garybeck@example.org,False,SUITE,12.41,28 Aug 2020,10 Jul 2020,211.66,"727 Bates Lane Suite 718
North Kayla, HI 16185",4399201237418459
gbrown@example.net,False,SUITE,12.27,23 Jul 2020,18 Jul 2020,125.19,"16952 Rachael Port Suite 163
Marshallstad, RI 58992",6011959203686754
summer96@example.net,False,SUITE,16.74,02 Jul 2020,23 Jul 2020,356.68,"25229 Bradley Lights
Haynesmouth, AR 88039",36501183431894
april05@example.com,False,SUITE,12.06,20 Sep 2020,06 Sep 2020,290.98,"668 Aaron Via Suite 928
Stoneside, ND 24734",3595727737298045
amiller@example.net,False,SUITE,9.35,20 Jul 2020,18 Jul 2020,191.44,"73170 Sherman Parks
Mcmillanstad, IA 37829",3536853461883992
richard69@example.net,False,SUITE,1.04,11 Mar 2020,23 Mar 2020,328.31,"9997 Kent Port
Mccannport, AK 34979",6011475835031814
schmidtpamela@example.org,False,SUITE,0.0,25 May 2020,10 Jun 2020,121.15,"5709 Amber Shoal
New Meagan, CO 44977",38655333780218
